"id","latitude","longitude"
"364","51.5206492","-0.1392419"
"365","51.3331407","1.4183938"
"366","50.9664902","-2.3160744"
"367","51.9915077","-0.977798"
"368","51.5971723","-0.2832578"
"369","51.7986063","-4.9934854"
"370","53.7148918","-1.6344237"
"371","53.4364545","-2.4294218"
"372","51.6082754","0.6661568"
"373","51.5284621","-0.2363317"
"374","53.6173165","-0.6613082"
"375","52.5013717","-1.9237661"
"376","53.4411466","-2.1892046"
"377","51.4090619","-0.2282523"
"378","56.7306228","-2.6537236"
"379","52.1860659","1.0178042"
"380","50.8985466","-1.3990726"
"381","54.3674244","-2.9132455"
"382","50.7900209","-0.9968235"
"383","51.5182514","-0.1668223"
"385","53.6424183","-1.8031235"
"386","51.6613567","-0.3966204"
"387","51.564671","0.1105596"
"388","53.8053958","-1.7641546"
"389","51.6104402","0.1011661"
"390","50.7453865","-1.9506311"
"391","51.5138175","-0.1021293"
"392","53.7505025","-2.4748149"
"393","54.5317328","-1.2526106"
"394","50.3959992","-3.5664311"
"395","50.4554034","-3.5982174"
"396","51.7059728","-0.2044779"
"397","50.8186374","-1.2364811"
"398","51.3474047","0.5073837"
"399","51.2210599","-0.7542948"
"400","51.6172286","-0.1094468"
"401","51.8936026","-2.0645238"
"402","51.6034512","-0.2972189"
"403","51.4671575","-3.1851609"
"641","51.6057158","-0.2166013"
"404","51.2594825","-2.5078593"
"405","53.4538205","-2.2977114"
"406","56.5529268","-2.6180082"
"407","51.6236232","-0.3781382"
"408","51.4313391","-0.1262654"
"409","51.150823","0.857677"
"410","51.465082","-0.3225861"
"411","51.5635169","-0.081243"
"412","51.4676525","-0.3762823"
"413","53.497658","-2.275188"
"414","52.5636909","-0.142677"
"415","52.5268858","-1.4538998"
"416","53.7509233","-3.0277834"
"417","51.2921903","1.0649335"
"418","51.5218909","-0.1015986"
"419","52.1322788","-0.991369"
"420","51.3895315","-0.1291034"
"421","51.541023","0.1271945"
"422","51.3641155","-0.221012"
"423","57.3218257","-2.0591899"
"424","51.5544527","0.21971"
"425","51.625348","-0.151869"
"473","53.0402064","-1.1005006"
"426","53.3971967","-2.3192668"
"427","52.3419936","-0.1579461"
"428","51.1561147","0.856396"
"429","53.341487","-2.1158385"
"430","53.7087134","-1.6422837"
"431","51.6093059","0.0227637"
"432","51.5759585","-0.0707706"
"433","51.540251","-0.301053"
"434","51.514847","-0.123234"
"435","51.5932342","-0.1680256"
"436","51.5932342","-0.1680256"
"437","51.5949027","-0.3154711"
"438","51.5411611","-0.3530056"
"439","51.3863349","-0.0981391"
"440","53.0206195","-0.7626801"
"441","51.8779589","-0.4228025"
"442","51.3678225","-0.1038976"
"443","52.052319","-2.699832"
"444","53.4556746","-2.3401672"
"445","51.5399701","0.6939943"
"446","51.5132191","-0.0829937"
"783","49.1854563","-2.1104678"
"447","57.0778744","-2.1251694"
"448","51.342277","-0.102611"
"449","51.6536547","-0.5194009"
"450","51.7227643","-0.1791438"
"451","51.476187","0.0354578"
"452","52.08395","-0.729398"
"453","52.08395","-0.729398"
"454","52.08395","-0.729398"
"455","53.789687","-1.758531"
"456","51.586983","-0.2513068"
"457","52.9549905","-1.1556844"
"458","51.4723821","-2.5590723"
"459","54.1684199","-4.5265175"
"460","51.256666","0.444872"
"461","51.606796","-0.1112931"
"462","51.442836","0.215953"
"463","50.7842065","-0.6713874"
"464","54.5737891","-1.2354191"
"465","51.3203666","-0.2739268"
"466","51.5130665","-0.0863744"
"467","51.5130665","-0.0863744"
"468","53.3476852","-2.576731"
"469","50.827716","-0.171461"
"470","53.0402064","-1.1005006"
"471","50.8977793","-1.3972226"
"472","53.496654","-2.513195"
"474","53.5927486","-1.8510261"
"475","51.6706178","-0.0210801"
"476","57.2236356","-2.1851287"
"477","50.9006778","-1.4042304"
"478","52.6023746","1.3905014"
"479","51.463884","0.3536157"
"480","51.5286835","-0.1159002"
"481","52.4184055","-1.0560847"
"482","51.604695","-0.1892"
"483","51.5748288","0.0666987"
"484","52.0419707","-0.717734"
"485","51.4033579","-0.1011974"
"486","51.429879","-0.0244112"
"487","51.4089192","-0.1222747"
"488","51.4089192","-0.1222747"
"489","51.6128782","-0.4146069"
"490","52.5354147","-2.1223124"
"491","51.5701288","-3.2280351"
