accountant_id,subservice_name,service_name,combo
5361,Cost systems and control,Bookkeeping & Admin,5361 - Bookkeeping & Admin
5361,Data processing services,Bookkeeping & Admin,5361 - Bookkeeping & Admin
5361,Feasibility studies,Other,5361 - Other
5361,Information Technology,Bookkeeping & Admin,5361 - Bookkeeping & Admin
5361,Limited company accounts,Annual Accounts,5361 - Annual Accounts
5361,Management accounting consultancy,Business Consulting & Support,5361 - Business Consulting & Support
5361,Management advice to business,Business Consulting & Support,5361 - Business Consulting & Support
5361,Partnership / sole trader accounts,Annual Accounts,5361 - Annual Accounts
5361,Tax and NI investigations,Tax Services,5361 - Tax Services
5361,"Tax(CGT, Corporate, IHT, Personal and VAT)",Tax Services,5361 - Tax Services
5365,Business plans,Business Consulting & Support,5365 - Business Consulting & Support
5365,Business process improvements,Business Consulting & Support,5365 - Business Consulting & Support
5365,Information Technology,Bookkeeping & Admin,5365 - Bookkeeping & Admin
5365,Limited company accounts,Annual Accounts,5365 - Annual Accounts
5365,Management advice to business,Business Consulting & Support,5365 - Business Consulting & Support
5365,Partnership / sole trader accounts,Annual Accounts,5365 - Annual Accounts
5365,Tax and NI investigations,Tax Services,5365 - Tax Services
5365,"Tax(CGT, Corporate, IHT, Personal and VAT)",Tax Services,5365 - Tax Services
5367,Business plans,Business Consulting & Support,5367 - Business Consulting & Support
5367,Business start-up and company formation,Formation / M&A,5367 - Formation / M&A
5367,Company secretarial service,Bookkeeping & Admin,5367 - Bookkeeping & Admin
5367,Corporate finance,Financing Support,5367 - Financing Support
5367,Estate planning and executorship,Other,5367 - Other
5367,Information Technology,Bookkeeping & Admin,5367 - Bookkeeping & Admin
5367,Limited company accounts,Annual Accounts,5367 - Annual Accounts
5367,Management accounting consultancy,Business Consulting & Support,5367 - Business Consulting & Support
5367,Management advice to business,Business Consulting & Support,5367 - Business Consulting & Support
5367,Management consultancy,Business Consulting & Support,5367 - Business Consulting & Support
5367,Partnership / sole trader accounts,Annual Accounts,5367 - Annual Accounts
5367,Tax and NI investigations,Tax Services,5367 - Tax Services
5367,"Tax(CGT, Corporate, IHT, Personal and VAT)",Tax Services,5367 - Tax Services
5370,Business start-up and company formation,Formation / M&A,5370 - Formation / M&A
5370,Information Technology,Bookkeeping & Admin,5370 - Bookkeeping & Admin
5370,Limited company accounts,Annual Accounts,5370 - Annual Accounts
5370,Management accounting consultancy,Business Consulting & Support,5370 - Business Consulting & Support
5370,Partnership / sole trader accounts,Annual Accounts,5370 - Annual Accounts
5370,"Tax(CGT, Corporate, IHT, Personal and VAT)",Tax Services,5370 - Tax Services
5391,Business plans,Business Consulting & Support,5391 - Business Consulting & Support
5391,Business process improvements,Business Consulting & Support,5391 - Business Consulting & Support
5391,Cost systems and control,Bookkeeping & Admin,5391 - Bookkeeping & Admin
5391,Information Technology,Bookkeeping & Admin,5391 - Bookkeeping & Admin
5391,Internal audit and systems security,Audit Services,5391 - Audit Services
5391,Management advice to business,Business Consulting & Support,5391 - Business Consulting & Support
5391,Management consultancy,Business Consulting & Support,5391 - Business Consulting & Support
5393,Business plans,Business Consulting & Support,5393 - Business Consulting & Support
5393,Business start-up and company formation,Formation / M&A,5393 - Formation / M&A
5393,Limited company accounts,Annual Accounts,5393 - Annual Accounts
5393,Partnership / sole trader accounts,Annual Accounts,5393 - Annual Accounts
5393,Tax and NI investigations,Tax Services,5393 - Tax Services
5393,"Tax(CGT, Corporate, IHT, Personal and VAT)",Tax Services,5393 - Tax Services
5396,Business start-up and company formation,Formation / M&A,5396 - Formation / M&A
5396,Company secretarial service,Bookkeeping & Admin,5396 - Bookkeeping & Admin
5396,Limited company accounts,Annual Accounts,5396 - Annual Accounts
5396,Partnership / sole trader accounts,Annual Accounts,5396 - Annual Accounts
5396,"Tax(CGT, Corporate, IHT, Personal and VAT)",Tax Services,5396 - Tax Services
5412,Business plans,Business Consulting & Support,5412 - Business Consulting & Support
5412,Business start-up and company formation,Formation / M&A,5412 - Formation / M&A
5412,Company secretarial service,Bookkeeping & Admin,5412 - Bookkeeping & Admin
5412,Data processing services,Bookkeeping & Admin,5412 - Bookkeeping & Admin
5412,Divorce matrimonial,Insolvency and Arbitration,5412 - Insolvency and Arbitration
5412,Expert witness,Other,5412 - Other
5412,Limited company accounts,Annual Accounts,5412 - Annual Accounts
5412,Management accounting consultancy,Business Consulting & Support,5412 - Business Consulting & Support
5412,Management advice to business,Business Consulting & Support,5412 - Business Consulting & Support
5412,Partnership / sole trader accounts,Annual Accounts,5412 - Annual Accounts
5412,Share valuations,Financing Support,5412 - Financing Support
5412,Tax and NI investigations,Tax Services,5412 - Tax Services
5412,"Tax(CGT, Corporate, IHT, Personal and VAT)",Tax Services,5412 - Tax Services
5417,Business plans,Business Consulting & Support,5417 - Business Consulting & Support
5417,Business start-up and company formation,Formation / M&A,5417 - Formation / M&A
5417,Cost systems and control,Bookkeeping & Admin,5417 - Bookkeeping & Admin
5417,Debt counselling,Financing Support,5417 - Financing Support
5417,Estate planning and executorship,Other,5417 - Other
5417,Expert witness,Other,5417 - Other
5417,Feasibility studies,Other,5417 - Other
5417,"Grants and Finance (EU,government)",Financing Support,5417 - Financing Support
5417,Information Technology,Bookkeeping & Admin,5417 - Bookkeeping & Admin
5417,Limited company accounts,Annual Accounts,5417 - Annual Accounts
5417,Management accounting consultancy,Business Consulting & Support,5417 - Business Consulting & Support
5417,Management advice to business,Business Consulting & Support,5417 - Business Consulting & Support
5417,Management consultancy,Business Consulting & Support,5417 - Business Consulting & Support
5417,Partnership / sole trader accounts,Annual Accounts,5417 - Annual Accounts
5417,Tax and NI investigations,Tax Services,5417 - Tax Services
5417,"Tax(CGT, Corporate, IHT, Personal and VAT)",Tax Services,5417 - Tax Services
5417,Trusteeship / Trust Administration,Other,5417 - Other
